№,Предложение
7843,"Терпению, эмпатии, непосредственности, бескорыстности в проявлении чувств"
7844,80% зависит от материала
7845,"Это должно быть полное попадание и соответствие твоему мировоззрению, мыслям, которые на данный момент у тебя есть и которыми тебе хотелось бы поделиться со зрителями"
7846,"Дальше обращаю внимание на режиссера, партнеров и так далее"
7847,"Фактор производственной компании также важен — благодаря ему ты понимаешь, какие ресурсы на историю будут затрачены и как она будет реализована"
7848,"Не уверен, что содержание материала соответствует названию, но для меня этот тур — отчасти попытка заглянуть в себя, проанализировать, что меня сподвигло делать то, что я сегодня делаю"
7849,"Задуматься, как и почему я действую именно так, а не по-другому"
7850,"Здесь я говорю о каких-то своих убеждениях, своем видении и мировоззрении"
7851,"Не знаю, насколько пафосно сейчас это прозвучит, но семья и, наверное, какое-то желание чего-то добиться"
7852,"Ввиду популярности появились какие-то соблазны, но хочется не довольствоваться сегодняшним, а думать о будущем, хочется достичь чего-то большего"
7853,"По крайней мере, такие желания у меня и у моего окружения"
7854,В детстве и юности я занимался боксом и хотел стать олимпийским чемпионом (факт)
7855,"Но дело в том, что в боксе — да и вообще в любом спорте — твоя жизнь ограничена возрастом"
7856,"Ты можешь находиться на пике в определенном возрасте, достичь каких-то высот, а в 40 лет никто не боксирует"
7857,"В стендапе же с возрастом ты, наоборот, становишься только лучше, и в этом суть"
7858,Мне очень интересно посмотреть на себя через 20–30 лет
7859,"Надеюсь, я стану лучше как комик, буду развиваться, писать, находить какие-то новые формы, свежую подачу"
7860,"Я рад, что занимаюсь именно стендап-комедией, потому что этот жанр позволяет расти с возрастом"
7861,В этом жанре ты можешь стать неактуальным только по своей вине
7862,Плевать!
7863,"Даже если он не будет востребован, он не исчезнет — вот что точно"
7864,"Возможно, в каком-то едином пространстве он станет менее актуальным"
7865,"Но опять же, посмотрим на стендап-индустрию в Америке — интерес был волнообразным: сначала был прилив, все говорили о стендапе, потом о нем забыли, но тем не менее в клубах выступления продолжались"
7866,"Естественно, за счет комиков, за счет какого-то желания развиваться, опять же"
7867,"В общем, я не боюсь, что стендап как жанр станет менее актуальным"
7868,Естественно
7869,Я в английском ноль
7870,"Это, кстати, второй момент в развитии"
7871,Первый — развиваться как комик
7872,"С английским у меня все очень плохо, и меня тормозит языковой барьер"
7873,"Мне не хватает духу сказать официанту «хелло, чикен» — меня уже в пот бросает"
7874,"Это надо перебороть, чтобы попробовать свои силы именно в англоязычном мире стендапа"
7875,"В России это молодой жанр, комиков не так много, конкуренция ниже и добиться успеха проще, чем в англоязычном мире"
7876,"Если ты добился чего-то в Америке, это уже мировой масштаб, это уже «сверх» для меня"
7877,"Это возможность, вероятность"
7878,"Это не цель как таковая — мол, несмотря ни на что, надо делать!"
7879,В таком контексте вопрос не горит
7880,"Возможно, когда-то возгорит"
7881,"Когда я пошел в StandUp на ТНТ, это не было целью жизни"
7882,"Когда я понял, что это возможность, что это круто и здорово, я уже в нее вцепился"
7883,С англоязычным стендапом всё пока слишком отдаленно — такое ощущение
7884,"Хотя, возможно, я ошибаюсь"
7885,"В целом можно взяться, но отягощает момент, что у меня семья"
7886,"Я и так весь гастролях, а тут еще момент с переездом — это определенные сложности"
7887,"Ролик снимали в Алма-Ате, так же как и прошлогоднее промо к туру IQ"
7888,"Мы познакомились с Айсултаном, начали общаться, и я ему предложил снять ролик для тура IQ"
7889,Он говорит: кайф!
7890,"Мы полетели в Алма-Ату, сняли первый ролик"
7891,Потом он снял мой концерт для ТНТ
7892,"Когда я думал о ролике для второго тура, у меня даже не было мысли предложить это кому-то еще"
7893,То же самое с Адилем
7894,"В ролике IQ звучит его трек с Jillzay и 104 «Аргумент», в «Принципах» — «Мистер 718»"
7895,Но есть некоторые моменты
7896,"Например, я уснул на столике в самолете, просыпаюсь, а у меня пол-лица в следах, другая половина в слюнях, а человек хочет сфоткать"
7897,Вот эти странные моменты
7898,"С обычным человеком, немедийным, вряд ли так будут делать"
7899,А в остальном — нет
7900,"Тщеславие, конечно, есть, стараюсь это чуть-чуть в себе гасить"
7901,Как раз на концерте об этом говорю
7902,"Грубо говоря, огонь, вода и медные трубы"
7903,Медные трубы — это самое сложное
7904,"Ты думаешь: «О-о-о да, я-я-я» — и всё это в себе подавляешь"
7905,"Не то чтобы я совсем кремень, это явно в чем-то проявляется — надо спросить у окружающих"
7906,Но вот такого чувства «Я» — такого нет
7907,"Надеюсь, это не произойдет"
7908,Это личное пространство
7909,"Я ехал за рулем, мне звонят с незнакомого номера, говорят что-то про «насру на тебя»"
7910,"Я через три минуты понял, что это Comment Out"
7911,Но никакого сожаления о моей реакции у меня не было
7912,"Меня обвиняют в том, что я не отреагировал, как комик — не отшутился, не «насрал» еще больше"
7913,"Но тот факт, что я комик, не означает, что я обязан реагировать как комик"
7914,А как должна реагировать певица?
7915,Петь?
7916,Это странно
7917,"Почему-то это взбудоражило многих, но мне вообще плевать"
7918,Я сам не понял
7919,"Возможно, в какой-то степени это жена так на меня действует, именно в проявлении чувств"
7920,Или же это Москва влияет
7921,"Возможно, и общение с комиками — потому что сам жанр заставляет постоянно сомневаться в своих принципах, убеждениях, в том, что ты делаешь"
7922,"То есть ты сомневаешься в себе, в других, начинаешь ставить под сомнение какие-то вещи в обществе"
7923,Я много думал и размышлял на эту тему
7924,"И сейчас, если что-то происходит, пытаюсь посмотреть на вещи с разных сторон"
7925,"Не знаю, насколько получается"
7926,"Видишь, ты заметила"
7927,"Я не думал о том, что я стал мягче"
7928,"Я не стал мягче, скорее, я просто хочу открыто говорить о каких-то своих минусах"
7929,"Я в последнее время больше отдаюсь работе, чем семье"
7930,Идет тур — полгода меня дома не будет
7931,Это испытание
7932,"Но хочется идти дальше, вперед"
7933,"Непонятно, что будет дальше: тормозну ли я или, если пойду дальше, как это отразится на моей семье"
7934,"Каждый раз, когда я уезжаю, проходит неделя, вторая, и ты уже начинаешь терзаться и мучаться, потому что тебя дома ждут и ты что-то упускаешь"
7935,Необходимо сохранить этот баланс «работа — семья»
7936,Я не знаю как
7937,"В следующем году точно никаких туров, ничего не хочу делать"
7938,Хочется побыть дома
7939,"А страхи есть всегда, постоянно"
7940,"Боишься, например, что ребенок упадет сейчас"
7941,"Он только чуть-чуть пошатнулся, а тебя сразу в пот бросает!"
7942,"Едешь за рулем, или жена едет за рулем — ты в постоянном страхе, в какой-то панике"
7943,"Возможно, это слегка ненормально — находиться в таком постоянном страхе"
7944,"Нет, не должен"
7945,Он ничего никому не должен
7946,"Что тебя тревожит, что тебе интересно, что тебе в кайф самому и смешно — с тем и выступай"
7947,"Хочешь, про стаканчики пиши; можешь карьеру построить на этом"
7948,Масса известных западных комиков построили карьеру шутками про еду или про свою семью
7949,"Опять же, тот же Кевин Харт шутит только о себе, никуда не лезет"
7950,"Думаю, это самый ценный ресурс человека, и очень хочется, чтобы все мы были внимательнее к нему"
7951,"Время — невидимая сила, распоряжаться которой нужно исключительно во благо"
7952,"И то, и другое — кропотливый труд, который со стороны не особо заметен"
7953,Я часто слышу: «Ну а что сложного — вышел на сцену и спел? Это же в удовольствие должно быть!»
7954,"Но чтобы все было непринужденно, на одном дыхании, нужно много работать"
7955,"Бесконечные репетиции, разучивание материала, разбор музыкальных и текстовых нюансов"
7956,"На мануфактуре Jaeger-LeCoultre меня поразила как раз изнаночная сторона часового мастерства: когда видишь, что все эти «наночастицы», которые составляют механизм, прорабатываются живыми людьми, понимаешь, сколько за этим стоит труда"
7957,"Часы, умещающиеся на женской ладошке, способны работать десятилетиями и не останавливаться (факт)"
7958,Это же чудо!
7959,Обретение мастерства — долгий процесс
7960,"Мы все живем в собственном ритме, проходим разные этапы развития"
7961,"Одни исполнители чувствуют себя увереннее в какой-то музыке, а в другой осторожничают — но я вот не боюсь пробовать новое"
7962,"Намеренно разогреваю в себе интерес, даже если что-то кажется мне чуждым и невозможным"
7963,"Но есть же еще и репетиции, когда можно искать, ошибаться, вживаться, проверять"
7964,"А ДАЛЬШЕ ТЫ ПРОСТО НАЧИНАЕШЬ ЛЮБИТЬ ВСЕ, ЧТО С ТОБОЙ ПРОИСХОДИТ"
7965,И СЛЕДОМ ПОЯВЛЯЕТСЯ РАДОСТЬ ОТ ПРОЦЕССА
7966,У МЕНЯ ЭТО ТАК РАБОТАЕТ
7967,"Конечно, и связано это волнение не только с появлением в какой-то новой роли или с непривычной обстановкой"
7968,"Публика ведь каждый раз разная, и ты не знаешь, как она тебя примет"
7969,Или ты с особым трепетом ждешь в зале какого-то одного человека
7970,"Когда же волнения нет, надо бить тревогу"
7971,"Но вообще, дело тут даже не в волнении, скорее в кураже, который возникает перед выходом на сцену"
7972,Переступил порог — и все: ты уже не ты
7973,"Я начинала в классическом лирическом ключе, но это не мешает мне пробовать и нетипичные для себя вещи — вплоть до меццо-репертуара"
7974,"Особенно, когда понимаю, что они ложатся на мой голос или что создаваемый на сцене образ мне подходит"
7975,"Я имела необычный опыт исполнения Кармен — нет, тут я не слишком оригинальна, ее пели до меня и Мария Каллас, и многие другие сопрано, но у меня получилась своего рода коллаборация со Светланой Ромашиной, семикратной олимпийской чемпионкой по синхронному плаванию"
7976,"Год назад она ставила номер и попросила меня поддержать его вокально — признаюсь, я с огромным интересом пошла на такую сделку, чтобы испытать свою Кармен"
7977,"Еще я обожаю джаз, который иногда очень гармонично уживается с академическим голосом"
7978,"В моем репертуаре много произведений, редко исполняемых в России, как те же сочинения Гершвина, безумно яркие, всегда украшающие концертную программу"
7979,Более чем!
7980,"Меня можно отнести к тем исполнителям, кто не зажат рамками только музыкального жанра"
7981,"Мне интересны и кино, и литература, и мода, и многое другое"
7982,"Не так давно, познакомившись с Михаилом Зыгарем, я оказалась на съемках его «Сказок Пушкина», где, можно сказать, слилась в неожиданном дуете с Лолитой Милявской"
7983,"Тогда мы с ходу придумали один номер, который запросто мог бы попасть в этот сериал"
7984,"А года два назад у меня был концертный перформанс «Япония и мода» — мы с коллегами-музыкантами придумали его на основе произведений русских композиторов конца XIX — начала XX века, которые фантазировали так или иначе на японскую тему"
7985,"Я появилась на сцене в старинном коллекционном кимоно, сорвав отдельные аплодисменты"
7986,"Сейчас вот думаю, как можно развить этот перформанс, включив в него уже современную японскую моду, которую безмерно уважаю"
7987,Мне важна эта внутренняя творческая раскрепощенность
7988,"Уверена, когда человек открыт миру, то мир ему отвечает взаимностью"
7989,В моей семье нет профессиональных музыкантов
7990,Я — первая
7991,По мужской линии у нас все занимаются медициной
7992,"Хотя мой папа окончил музыкальную школу сразу по двум классам — фортепиано и аккордеон, и совершенно замечательно играет до сих пор"
7993,"Но он никогда не настаивал, чтобы я пошла по медицинской линии"
7994,"Он уверен, что в медицине, как и в музыке, необходимо стопроцентное призвание"
7995,У меня же с детства был абсолютный слух
7996,"И открыла его Ирина Сергеевна Родзевич, знаменитый педагог по фортепиано, к которой меня привели на прослушивание в пять лет"
7997,Потом была шопеновская музыкальная школа с очень сильным хором — мы исполняли даже Stabat mater Перголези
7998,Именно тогда меня сцена и околдовала
7999,"А когда я заканчивала школу, то уже понимала, что мой путь — вокал"
8000,"За роялем тоже обожаю сидеть, но это больше для салонного музицирования"
8001,"Тут я, конечно, душа компании, человек, который может без нот сыграть что угодно"
8002,"Когда я окончила консерваторию, первый вопрос моих родителей был: «Куда ты пойдешь работать? И что будет с трудовой книжкой?»"
8003,"Да, я ее положила в Музыкальный театр имени Станиславского и Немировича-Данченко, где прослужила два года"
8004,"Первый сольный опыт случился еще в годы учебы и был связан с «Риголетто» в Большом театре, где опера шла с моим участием три сезона"
8005,Параллельно я стала получать много ангажементов от заграничных театров — и рано начала ездить
8006,"Мне нравится быть частью большого мира, встречать разных людей, показывать свое искусство, видеть, что могут другие, обогащать друг друга"
8007,"Трудно не заметить, что блогеры и тик-токеры оказывают заметное влияние на нашу жизнь, особенно на молодое поколение"
8008,Включать по этому поводу снобизм не стоит
8009,"Я ЗА МЕТОДЫ, КОТОРЫЕ СДЕЛАЮТ СТАРЫЕ ПОДХОДЫ ИНТЕРЕСНЫМИ ДЛЯ НОВОЙ АУДИТОРИИ"
8010,"И, ДА, МНЕ КАЖЕТСЯ ВАЖНЫМ ЗНАКОМИТЬ СЕГОДНЯ С ОПЕРОЙ И ВООБЩЕ С КЛАССИЧЕСКОЙ МУЗЫКОЙ ТЕХ, КТО ВЫРОС В СОВЕРШЕННО ДРУГОЙ ПАРАДИГМЕ!"
8011,"Это особый жанр, и чтобы понять и почувствовать его, нужно отключиться от всего суетного, от всей бытовухи"
8012,Просто взять и отдаться вот этому бездонному музыкальному морю переживаний
8013,"Есть такой бородатый, но очень хороший анекдот: «Что такое опера? Это когда пришел на спектакль в семь, через три часа смотришь на часы, а там только семь пятнадцать»"
8014,"Опера — долгий, протяженный процесс"
8015,Ты будто погружаешься в безвременье
8016,"Чтобы полюбить оперу, важно уметь слушать!"
8017,"А чтобы научиться слушать, нужно себя к этому приучить"
8018,Она впечатлила своей темпо-ритмической атмосферой
8019,"Ее невозможно представить, не побывав там"
8020,"Все, кто всерьез интересуются часами как высокотехнологическим искусством или только открывают для себя эту тему, просто обязаны побывать на мануфактуре хоть раз, чтобы своими глазами увидеть весь путь производства, понять, как живет часовое закулисье"
8021,"Кажется, что все идет так размеренно, так четко, как поезд по расписанию, может, даже где-то монотонно — но параллельно делаются невероятные открытия и создаются шедевры"
8022,"И еще меня поразили люди, целые династии, которые трудятся на мануфактуре всю свою жизнь — и счастливы"
8023,Это так вдохновляет!
8024,"Изначально эти часы были созданы для игроков в поло: благодаря специальному механизму корпус можно перевернуть, чтобы защитить от удара сторону циферблата"
8025,"Сегодня это, может, уже не так актуально, но знатоки все равно отдают дань уважения совершенно уникальному решению этой модели"
8026,"Ну и, конечно, изящество оформления в стиле ар-деко — эталон элегантности вне времени — играет свою роль"
8027,"Reverso подходят абсолютно любому образу, и мужскому, и женскому"
8028,"Развитие оперы, как и балета или других изящных искусств, — признак того, что люди продолжают тянуться к высокому"
8029,"Ну а мы дружно работаем на то, чтобы эта тяга у них не пропала"
8030,"Чтобы, прикоснувшись к прекрасному, человек, захотел и дальше искать красоту — во всех ее проявлениях"
8031,"Будьте добрее, с какими бы трудностями вы ни сталкивались в жизни"
8032,"Человек, освободившийся от всего, что не созвучно слову «добро», способен осуществить любые свои мечты"
8033,Я в это свято верю!
8034,"Писать альбом мы начали в прошлом году, в самый разгар карантина"
8035,"После всех ограничений и запретов работа в студии стала для меня настоящим спасением, но и большим испытанием одновременно"
8036,"Всю энергию, которую раньше я вкладывала в концерты и гастроли, я направила внутрь себя"
8037,"Хотела еще больше понять и услышать себя, определить самое важное в мыслях и чувствах"
8038,"Поняла, что мне нравится быть разной"
8039,И уже с этим пониманием создавала новый альбом
8040,Он получился очень откровенным и многогранным
8041,"В нем весь спектр эмоций и чувств, которые я пережила за последнее время"
8042,"Здесь есть место и спокойной радости, и отвязной вечернике, и светлой грусти"
8043,"Словом, «Красное вино» отражает все грани женского характера, полноту жизни"
8044,"Я верю, что мои слушатели влюбятся в него с первого звука и оставят на репите"
8045,Это было судьбоносное решение
8046,"В Мексику я отправилась на перезагрузку, чтобы отпустить прошлое и найти гармонию"
8047,"Год начался очень тяжело: я потеряла папу, переболела коронавирусом"
8048,"Все это на фоне полной неопределенности: карантин, ограничения, перенос моего тура"
8049,"В какой-то момент все навалилось настолько, что я пережила настоящую паническую атаку, очутилась под капельницей и поняла: так дальше нельзя, нужно что-то менять"
8050,"Спасибо маме, лучшей подруге Ане и, конечно, моим девочками из команды NICE2CU, которые поддержали мою авантюру — мы все вместе отправились в Мексику"
8051,"Сразу решили, что это не будет праздный пляжный отдых"
8052,"Нам всем нужно пройти полную перезагрузку: отбросить прошлое, избавиться от груза проблем и наполниться силами для того, чтобы начать новый этап в жизни"
8053,"И так как в нашей команде оказались одни девочки, то формат реалити «Девочки рулят» (в поддержку сингла «Девочки рулят», клип на который оказался мегауспешным) возник сам собой"
8054,"Я хотела поделиться со зрителями самым сокровенным: честно рассказать обо всех своих сомнениях, переживаниях, о преодолении трудностей"
8055,"У меня уже есть опыт записи влогов, которые очень понравились поклонникам, и они давно просили меня о новых видео"
8056,"Поэтому я решила снять реалити, которое было бы интересным, насыщенным, но при этом живым и настоящим, искренним, как и мои влоги"
8057,"Держать себя в форме — это, конечно, огромный труд, особенно для девочек"
8058,"Нужно не только следить за питанием и давать себе физическую нагрузку, но и быть психологически сильной, прощать и принимать себя"
8059,И вот с этим как раз у многих есть трудности
8060,"Все вокруг говорят, кто каким должен быть"
8061,На самом деле никто никому ничего не должен
8062,Важно только одно — быть собой
8063,Поэтому в первую очередь нужно полюбить и принять себя
8064,С этого начинается путь к здоровому телу и здоровому духу
8065,Никому не придется заставлять себя делать зарядку или бегать по утрам — вы сами захотите этого и будете строить тело своей мечты с удовольствием
8066,"А если и наберете несколько лишних килограммов, то не будете укорять себя и легко их сбросите"
8067,"Кстати, в рамках реалити «Девочки рулят» мы обсудили вопросы здорового питания с диетологом-эндокринологом Альбиной Комиссаровой"
8068,"Я открыла для себя много важного, но основной посыл — есть можно все, главное — делать это по графику, в удовольствие, обязательно прислушиваясь к собственному телу"
8069,Тогда даже без жестких ограничений вы сможете прийти к идеальному весу и сохранить его
8070,Нет!
8071,И никогда об этом не задумывалась
8072,"Да, своими силами с ежедневными тренировками, правильным питанием это сделать гораздо дольше и сложнее, но я выбрала для себя такой путь"
8073,Леша много работает над собой
8074,"С таким безумным графиком, как у него, придерживаться жесткого плана питания просто нереально"
8075,Но он старается
8076,"Я со своей стороны всячески ему помогаю: составляю здоровое меню, собираю на работу лоточки с едой"
8077,"И, конечно, поддерживаю его в занятиях спортом"
8078,"Можем устроить пикник, отправиться в гости к друзьям, просидеть всю ночь в домашней студии, работая над треками"
8079,"А еще можем выйти на пробежку или просто проваляться целый день в постели — нам не скучно вместе, и мы не устаем друг от друга"
8080,Любовь к языкам у меня с самого детства
8081,Это безумно интересно — уметь общаться на разных языках
8082,"К тому же, изучая язык, ты изучаешь и культуру"
8083,"Я давно хотела петь песни на других языках, и у меня уже была пара треков на английском и итальянском"
8084,"Мне с детства нравится испанский, я всегда мечтала спеть на нем"
8085,"И когда начала сольную карьеру, то поняла, что это лучшее время, чтобы осуществить свою мечту, но для этого нужно выучить язык"
8086,Я задалась целью и быстро начала ее достигать
8087,"Когда передо мной встала задача — дать интервью на латиноамериканских каналах, я подготовилась к ним за считанные недели"
8088,"Ведущие были в шоке — я и внешне похожа на латиноамериканку, да еще и на испанском бегло говорю"
8089,"Они подумали, что я местная, не верили, что я с другого континента"
8090,"Но, конечно, язык — это не единственное условие успеха на международном рынке"
8091,"Музыкальный материал должен быть конкурентным, ведь на одной площадке с вами — звезды мирового уровня"
8092,"Мы очень много работали для того, чтобы попасть в зарубежные чарты, чтобы записать мегауспешные дуэты"
8093,Это уникальный опыт
8094,Нужно отдать должное моей команде
8095,Мои ребята из NICE2CU дадут фору любым акулам мирового шоу-бизнеса
8096,"Они умудрялись организовывать эфиры, интервью, выступления, запись и даже съемки клипов — и все это на двух континентах одновременно в режиме 24/7"
8097,Это просто поразительно!
8098,Ну а Леша — композитор и продюсер мирового уровня
8099,"Песни, написанные им, попали в такие мировые чарты, как Billboard и Shazam Global"
8100,Важна любовь и искренность
8101,"У нас с Лешей нет ни тайн, ни секретов друг от друга"
8102,Только безграничное доверие
8103,"И еще мы очень любим наслаждаться жизнью, каждым ее мгновением"
8104,"В то время как для многих пар карантин стал серьезным испытанием на прочность, мы, наоборот, стали еще ближе"
8105,"Этот год показал мне, что главное в жизни — это не вещи"
8106,"Главное — это семья, друзья и близкие"
8107,"Это любовь и, конечно же, музыка"
8108,Все остальное — наносное
8109,"Время печали и грусти пройдет, его сменит полоса радости и счастья"
8110,Я в это верю
8111,"Скорее как женщину, которая умеет играть в кино, а еще с недавних пор научилась это кино придумывать"
8112,"Это две разные профессии: одна про отказ от эго и возможность побыть другим, а авторство — это про мифотворение, создание нового мира, в котором есть дедлайны и коммуникации — если говорить про сценарии"
8113,"Я раскрываюсь и в актерстве, и в писательстве, так что давайте называть меня кинематографистом"
8114,"Да, это был действительно долгий путь"
8115,"Сперва о кино я и не думала, училась в МГУ им.Ломоносова на факультете философии и подрабатывала стилистом"
8116,"И мне нравилось: мы снимали клипы, делали обложки для глянца"
8117,"Учебу, к слову, бросала, и не раз, — уезжала в Индию, знакомилась с буддизмом, что вызывало больше интереса, чем экономика и политология"
8118,"После получения диплома я поняла, что хочу делать костюмы и сценографию"
8119,"Мне всегда казалось, что театр — это пространство, где возможно все"
8120,"С театра началось знакомство с кинематографом: мы с коллегами смотрели Тарковского, Кшиштофа Кислевского, Пазолини, Брессона, Бергмана"
8121,Я начала ставить спектакли и подумывать про режиссуру
8122,"После обучения у меня был свободный год, и я пошла к Герману Сидакову попробовать себя в актерстве"
8123,Во время учебы прошла кастинг в большой театральный проект и параллельно начала сниматься
8124,Ездила в США учиться актерскому ремеслу
8125,"Но роли я получала небольшие, а мне всегда хотелось диалога, с режиссером, создателями, другими участниками, зрителем"
8126,"И тогда я решила создавать этот диалог сама и познакомилась с Александром Гоноровским, сценаристом и мастером сценарной мастерской"
8127,"Чему я несказанно рада, потому что выяснилось, что все интегрировано и взаимосвязано"
8128,"Мое первое образование задает структуру, а творчество — это не всегда про вдохновение, там есть четкие законы"
8129,"Я медитирую каждый день и перед тем, как сесть писать, а мои актерские навыки позволяют создавать достоверные диалоги"
8130,И я по-настоящему счастлива в своей реализованности
8131,В школе Драмы у Германа Сидакова я познакомилась с режиссером и продюсером Русланом Сорокиным
8132,"Он с подачи Володи Дыховичного придумал шутку про такси, которое везет негодующего пассажира после его смерти, и снял учебный короткий метр"
8133,Позже Руслан начал сотрудничество с видеосервисом START и подал им эту идею
8134,"Она развилась в неоднократную поездку, а историю водителя сделали ключевой"
8135,"Руслан человек одержимый и талантливый, и я до сих пор поражаюсь, как из короткометражки, на которую смотрели скептически, вырос такой потрясающий проект"
8136,В новом сезоне — новые герои!
8137,Идея та же: таксист перевозит душу
8138,"Но теперь душа должна не только покаяться, но и успеть что-то исправить"
8139,"Уже известный по первой части Сергей Гилев исполнит роль таксиста, а Аня Чиповская будет ему мешать"
8140,"Герой Андрея, которого исполнял Кирилл Кяро, тоже появится, но в роли наставника нового перевозчика"
8141,Утром вы выпиваете чашку кофе и садитесь в такси по дороге на работу
8142,"А вы уверены, что вы единственный пассажир в этой машине?"
8143,А в лифте?
8144,"Уверены ли вы, что никто не сидит рядом за вашим рабочим столом?"
8145,"Мир больше, чем мы про него понимаем"
8146,"А любовь в этом мире не исчезает и не заканчивается, никогда, даже после смерти, — ее можно почувствовать"
8147,"Как дыхание пассажира по соседству, которого вы не видите"
8148,"Если в двух словах, «Пассажиры"
8149,"Последняя любовь на Земле» — это история любви, но не на «Титанике», а на заднем сиденье старого желтого мерседеса"
8150,"Я мало смотрю такой жанр, мне страшно"
8151,"Могу весь фильм просидеть, закрыв глаза руками"
8152,"Мне понравился сериал с Николь Кидман «Отыграть назад»: блестящая игра актрисы и скелеты в шкафу, идеально"
